ID,COD_PLAN,ANHO,ANHO_SIES,PLAN_NOMBRE,JORNADA_USACH,JORNADA_SIES,ESTADO_JORNADA,LLAVE,SIES,SIES_CAR,LLAVE_SIES,PROGRAMA_SIES,OBSERVACIÓN,COD_PLAN2,COD_CARRERA,Nombre_carrera,REPLICA_COD_SIES,DURACIÓN,DURACION_TOTAL,COD_DEPTO_2,COD_FAC_,depto,FACULTAD_,COD_FAC,FACULTAD,COD_DEPTO_2_CR,nombre_depto_cr,comparacion_cod_depto,ANHO_PLAN
2019-9383,9383,2019,2019-I71S1C215J2V1,DIPLOMADO EN GESTION DE RECURSOS HUMANOS,2,2,OK,93832019,I71S1C215J2V1,I71S1C215J,2019I71S1C215J2V1,DIPLOMADO EN GESTION DE RECURSOS HUMANOS,SIN OBSERVACIONES,9383,DIPGRH,DIPLOMADO EN GESTIÓN DE RECURSOS HUMANOS,I71S1C215J2V1,2,1,61,60,DEPARTAMENTO DE ADMINISTRACIÓN,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,61,Departamento de Administración,TRUE,2019-9383
2019-9628,9628,2019,2019-I71S1C627J3V1,DIPLOMADO EN GESTION DE RECURSOS HUMANOS Y DESARROLLO ORGANIZACIONAL,2,3,NO,96282019,I71S1C627J3V1,I71S1C627J,2021I71S1C627J3V1,DIPLOMADO EN GESTION DE RECURSOS HUMANOS Y DESARROLLO ORGANIZACIONAL,SIN OBSERVACIONES,9628,DIPRHDO,DIPLOMADO EN GESTIÓN DE RECURSOS HUMANOS Y DESARROLLO ORGANIZACIONAL,I71S1C627J3V1,2,1,67,65,DPTO DE TECNOLOGÍAS GRALES,FACULTAD TECNOLÓGICA,65,Facultad Tecnológica,67,Departamento de Tecnologias de Gestión,TRUE,2019-9628
2019-9390,9390,2019,2019-I71S1C408J2V1,DIPLOMADO EN GESTION DE SALUD,2,2,OK,93902019,I71S1C408J2V1,I71S1C408J,2018I71S1C408J2V1,DIPLOMADO EN GESTION DE SALUD,NO SE INFORMA EL AÑO 2019,9390,DIPGSA,DIPLOMADO EN GESTIÓN DE SALUD,I71S1C408J2V1,1,1,64,60,DPTO DE GEST Y POLÍTIC PÚBLIC,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,64,Departamento de Gestión y Políticas Públicas,TRUE,2019-9390
2019-9130,9130,2019,2019-I71S1C339J2V1,DIPLOMADO EN GESTION DE SEGURIDAD Y SALUD OCUPACIONAL,2,2,OK,91302019,I71S1C339J2V1,I71S1C339J,2017I71S1C339J2V1,DIPLOMADO EN GESTION DE SEGURIDAD Y SALUD OCUPACIONAL,NO INFORMADO EN ESTE AÑO,9130,DIPGSSO,DIPLOMADO EN GESTIÓN DE SEGURIDAD Y SALUD OCUPACIONAL,I71S1C339J2V1,1,1,46,40,DPTO DE INGENIERÍA INDUSTRIAL,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,46,Departamento de Ingeniería Industrial,TRUE,2019-9130
2019-9671,9671,2019,2019-I71S1C526J2V1,DIPLOMADO EN GESTION DEL CONOCIMIENTO EN LAS ORGANIZACIONES,2,2,OK,96712019,I71S1C526J2V1,I71S1C526J,2018I71S1C526J2V1,DIPLOMADO EN GESTION DEL CONOCIMIENTO EN LAS ORGANIZACIONES,"INFORMADO DESDE EL 2016, SIN 2019 Y 2020",9671,DIPEGCO,DIPLOMADO EN GESTIÓN DEL CONOCIMIENTO EN LAS ORGANIZACIONES,I71S1C526J2V1,2,1,61,60,DEPARTAMENTO DE ADMINISTRACIÓN,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,61,Departamento de Administración,TRUE,2019-9671
2019-9851,9851,2019,2019-I71S1C504J3V1,DIPLOMADO EN GESTION EN SALUD Y POLITICAS PUBLICAS,1,1,OK,98512019,I71S1C504J3V1,I71S1C504J,2019I71S1C504J3V1,DIPLOMADO EN GESTION EN SALUD Y POLITICAS PUBLICAS,SE INFORMA EN JORNADA VESPERTINA,9851,DIPGSPP,DIPLOMADO EN GESTIÓN EN SALUD Y POLÍTICAS PÚBLICAS,I71S1C504J3V1,2,1,86,83,ESCUELA DE OBSTETRICIA Y PUERI,FACULTAD DE CIENCIAS MÉDICAS,83,Facultad de Ciencias Médicas,86,Escuela de Obstetricia y Puericultura,TRUE,2019-9851
2019-9355,9355,2019,2019-I71S1C292J2V1,DIPLOMADO EN GESTION FINANCIERA,2,2,OK,93552019,I71S1C292J2V1,I71S1C292J,2019I71S1C292J2V1,DIPLOMADO EN GESTION FINANCIERA,SIN OBSERVACIONES,9355,DIPGFIN,DIPLOMADO EN GESTIÓN FINANCIERA,I71S1C292J2V1,2,1,61,60,DEPARTAMENTO DE ADMINISTRACIÓN,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,61,Departamento de Administración,TRUE,2019-9355
2019-9324,9324,2019,2019-I71S1C213J2V1,DIPLOMADO EN GESTION ESTRATEGICA DE ABASTECIMIENTO Y ADQUISICIONES,2,2,OK,93242019,I71S1C213J2V1,I71S1C213J,2020I71S1C213J2V1,DIPLOMADO EN GESTION LOGISTICA DE ABASTECIMIENTO Y ADQUISICIONES,NO INFORMADO EN LOS AÑOS 2018 Y 2019,9324,DIPGA,DIPLOMADO EN GESTIÓN ESTRATÉGICA DE ABASTECIMIENTO Y ADQUISICIONES,I71S1C213J2V1,1,1,61,60,DECAN FACULTAD DE ADM Y ECONOM,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,61,Departamento de Administración,TRUE,2019-9324
2019-9345,9345,2019,2019-I71S1C217J2V1,DIPLOMADO EN GESTION LOGISTICA DE PRODUCCION Y DISTRIBUCION,2,2,OK,93452019,I71S1C217J2V1,I71S1C217J,2018I71S1C217J2V1,DIPLOMADO EN GESTION LOGISTICA DE PRODUCCION Y DISTRIBUCION,NO INFORMADO EN EL AÑO 2019,9345,DIPGLPD,DIPLOMADO EN GESTIÓN LOGÍSTICA DE PRODUCCIÓN Y DISTRIBUCIÓN,I71S1C217J2V1,2,1,61,60,DEPARTAMENTO DE ADMINISTRACIÓN,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,61,Departamento de Administración,TRUE,2019-9345
2019-9632,9632,2019,2019-I71S1C618J3V1,DIPLOMADO EN GESTION PUBLICA E INNOVACION SOCIAL,2,2,OK,96322019,I71S1C618J3V1,I71S1C618J,2022I71S1C618J3V1,DIPLOMADO EN GESTION PUBLICA E INNOVACION SOCIAL,SOLO INFORMADO EL AÑO 2018,9632,DIPGPIS,DIPLOMADO EN GESTIÓN PÚBLICA E INNOVACIÓN SOCIAL,I71S1C618J3V1,1,1,67,65,DPTO DE TECNOLOGÍAS GRALES,FACULTAD TECNOLÓGICA,65,Facultad Tecnológica,67,Departamento de Tecnologias de Gestión,TRUE,2019-9632
